threshold,f1,f2,precision,recall
0.05,0.4876894392121241,0.7031099225276392,0.3228368884106589,0.9965806955842126
0.1,0.5457463884430177,0.7433484028755651,0.37819086761434334,0.9798749511527941
0.15,0.5920738885032145,0.7681824589984179,0.4283904782703647,0.9581867917155139
0.2,0.6217350291123183,0.777611430245236,0.46603598771151317,0.9336654943337241
0.25,0.6404754500535572,0.7768780700430854,0.4954824913124833,0.905431809300508
0.3,0.6564707595950768,0.7747980058449373,0.523278764658075,0.8806174286830794
0.35,0.6681967714788463,0.7681618293755497,0.5491009681881052,0.85326299335678
0.39999999999999997,0.6762919766740398,0.7564824645061451,0.5747487866566409,0.8214146150840171
0.44999999999999996,0.6820819040359124,0.7412418769904825,0.6020034387381327,0.7867330988667448
0.49999999999999994,0.685783089546914,0.7235752465557479,0.6308664259927798,0.7511723329425557
0.5499999999999999,0.6851591101098282,0.7016380205329334,0.6593495934959349,0.713071512309496
0.6,0.6795168843973379,0.675779028494107,0.685839387003682,0.6733098866744822
0.65,0.6682233291822333,0.644157663065226,0.7125940681717574,0.629054318093005
0.7,0.6477973568281938,0.6018253253662929,0.7423018677435639,0.5746385306760453
0.75,0.6156111929307806,0.5478891848247803,0.7753375871791067,0.5104533020711215
0.7999999999999999,0.5587028966931556,0.47061236828467784,0.8120342771982116,0.42584994138335286
0.85,0.46541059367223603,0.3655104638956514,0.8547923739879865,0.31975381008206333
0.9,0.32281377981209347,0.23284909988183777,0.9066305818673883,0.19636576787807739
0.95,0.16954585930543187,0.11350088225475702,0.9577464788732394,0.09300508010941774
